index,petition_id,there,should,people,their,government,children,would,being,which,public,years,british,referendum,health,these,other,change,allow,after,child
0,512e28f1-a1f2-4778-be6a-7fdee7ed7f9a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,396cac2e-274e-4561-a30d-d5923cf43f36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,f8c24012-bf80-4dfe-9602-c0ea3bd31140,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,031029ee-e608-4a84-9c35-1d01bd3a3c5d,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
4,f9b824a8-376e-4581-a84c-d0134f807fb7,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,70b28cfb-5191-4318-9616-8c2f8d6cef76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,dc723b17-a3cd-4101-837e-3063fbd154c0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,85221c86-89fe-44db-a4fd-9dc5ac75b64e,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8,baaac3b5-316f-45dd-b7ee-d685a213672e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,97772218-2f37-4b16-9dc0-a643e6e962bc,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6b386015-e8ed-49e7-a3cb-6ed8795ccf27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4a7b65f2-860e-488d-8c49-25820aa7f59b,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,7cfec7d5-d1f5-43df-a44d-25201a6bca65,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13,1816aece-9e66-429d-90aa-371690bc49f2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
14,e705df84-9721-4b0b-9056-ba34ad7cfe84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,c72f2803-9015-4acc-894c-1997d1dbb688,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
16,5f3333b7-0009-475a-ac5c-e8aff12eda5f,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
17,95e3b928-fd23-4a13-ac47-ffb05312456c,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,d5035761-67b1-4219-8dbb-9cb95bb7bae0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
19,df9deb5a-fd6e-4b72-8b85-2bb9bb756c99,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,16c9f38d-6edd-4465-ba2f-7672adff55c9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
21,429397f5-1258-47e6-bd59-0858b77122f6,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,dbbc976c-38fe-4104-b39e-62b876572b22,0,1,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0
23,b5abc210-6dae-4360-92ac-cd83991cd20b,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
24,696177bb-a340-44c6-85e1-478208ab883e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
25,e02009a2-0ec0-4542-905a-b1d186167c12,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,83e8cb66-cec4-4aed-bc8d-38c5e7b7eeb1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,a4e65aea-8acc-46b8-8d88-be796022ec2a,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
28,3644ed7c-98dd-4dba-8a95-bf8da3d00c95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,4cb9f58b-0493-49c3-a3b0-3f720061f630,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,6c40cd4e-0ad0-4694-a48b-2ebda3da12d0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,c94f87f5-4eb6-4b83-ba0f-dd7cea68c0a3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,d8ea932f-3c1b-4b26-bac1-ac35016b48c5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
33,b927f442-432f-402c-a237-cdcf32f9afc2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
